,Authors,Date,Link,Tickers,Title,Strategy
155, Bert Hochfeld,2016-03-30 16:58:00,/article/3962099-arista-technology-management-winning-combination-cloud-data-centers,ANET,"Arista: Technology And Management, A Winning Combination In Cloud Data Centers",Long
156, Pierre Riffard,2016-03-30 16:55:00,/article/3962095-lockheed-martins-huge-potential,LMT,Lockheed Martin's Huge Potential,Long
157, Eric Schwer,2016-03-30 16:40:00,/article/3962092-lazard-may-bumpy-ride-well-managed,LAZ,"Lazard May Have A Bumpy Ride, But Well Managed",Long
158, Sven Carlin,2016-03-30 16:03:00,/article/3962090-apple-next-40-years,AAPL,Apple For The Next 40 Years,Long
159, James Knippen,2016-03-30 15:35:00,/article/3962071-gilead-gilead-art-thou-gilead,GILD,"Gilead, Gilead Where Art Thou Gilead?",Long
160, Jason Ditz,2016-03-30 15:24:00,/article/3962066-aercaps-rebound-company-still-bargain,AER,"After AerCap's Rebound, Company Is Still A Bargain",Long
161, Intelligent Speculator,2016-03-30 15:20:00,/article/3962074-facebook-getting-started,FB,Facebook Is Only Getting Started,Long
162, SqueezeMetrics,2016-03-30 15:09:00,/article/3962059-pfizer-allergan-merger-arbs-arrived,AGN,Pfizer-Allergan Merger Arbs Have Arrived,Long
163, Opaque Investors,2016-03-30 14:45:00,/article/3962049-overstock-com-overlooked-value,OSTK,Overstock.com: An Overlooked Value,Long
164, Mihir Mehta,2016-03-30 14:42:00,/article/3962060-chevron-stay-long-upside,CVX,Chevron: Stay Long For More Upside,Long
165, Diego T. Salas,2016-03-30 14:28:00,/article/3962043-lockheed-martin-stock-market-general,LMT,Lockheed Martin: The Stock Market General,Long
166, Collective Investment Co.,2016-03-30 14:27:00,/article/3962052-sticking-planet-fitness,PLNT,Why We Are Sticking With Planet Fitness,Long
167, Leo Nelissen,2016-03-30 14:23:00,/article/3962051-expedias-impressive-growth-story,EXPE,Expedia's Impressive Growth Story Isn't Over,Long
168, Alpha Investor,2016-03-30 13:59:00,/article/3962044-capstone-turbine-primed-comeback,CPST,Capstone Turbine - Primed For A Comeback?,Long
169, Detroit Bear,2016-03-30 13:53:00,/article/3962029-finish-line-shares-soaring,FINL,Finish Line Shares Are Soaring,Long
171, West Coast Growth Picks,2016-03-30 12:43:00,/article/3962010-pivot-underway-save-spirits-stock-price-makes-buy,SAVE,A Pivot Underway To Save Spirit's Stock Price Makes It A Buy,Long
172, Alpha Investor,2016-03-30 12:42:00,/article/3962020-reasons-chevron-will-continue-turning-around,CVX,More Reasons Why Chevron Will Continue Turning Around,Long
173, Quad 7 Capital,2016-03-30 12:30:00,/article/3962007-carnival-aboard,CCL,Carnival: All Aboard!,Long
174, West Coast Growth Picks,2016-03-30 12:19:00,/article/3962004-united-chinese-opportunity,UAL,United: A Chinese Opportunity,Long
175, Shudeep Chandrasekhar,2016-03-30 12:16:00,/article/3962014-netflix-flexing-muscles-home-market-deploys-new-strategy-abroad,NFLX,"Netflix Flexing Muscles In Home Market, Deploys New Strategy Abroad",Long
176, Alpha Investor,2016-03-30 11:46:00,/article/3962002-exxon-mobil-reasons-buying,XOM,Exxon Mobil: More Reasons Why You Should Be Buying,Long
177, Mihir Mehta,2016-03-30 11:41:00,/article/3961993-continental-resources-buy,CLR,Why Continental Resources Is A Buy,Long
178, Ugly Duckling,2016-03-30 11:37:00,/article/3961988-missing-point-iphone-se,AAPL,Missing The Point On The iPhone SE,Long
179, EP Vantage,2016-03-30 11:34:00,/article/3961987-keryx-leaps-one-hurdle-regulators-payers-await,KERX,Keryx Leaps One Hurdle But Regulators And Payers Await,Long
180, Seeking Early Retirement,2016-03-30 11:12:00,/article/3961676-look-bhps-spin-south32-first-half-year-independent-company,SOUHY,A Look At BHP's Spin-Off South32 After Its First Half-Year As An Independent Company,Long
181, Larry Saunders,2016-03-30 10:58:00,/article/3961973-maxwell-technologies-appears-conservatively-priced,MXWL,Maxwell Technologies Appears Conservatively Priced,Long
182, The Value Investor,2016-03-30 10:53:00,/article/3961961-akorn-taking-right-measures-market-might-pessimistic,AKRX,"Akorn: Taking All The Right Measures, And The Market Might Be Too Pessimistic",Long
