,Authors,Date,Link,Tickers,Title,Strategy
9421, Gold Mining Bull,2015-09-11 13:35:00,/article/3502436-sandstorms-latest-asset-update-good-news-shareholders,SAND,Why Sandstorm's Latest Asset Update Is Good News For Shareholders,Long
9422, ADS Insights,2015-09-11 13:34:00,/article/3505436-now-great-time-buy-aig,AIG,Now Is A Great Time To Buy AIG,Long
9423, Dana Blankenhorn,2015-09-11 13:33:00,/article/3502406-momentum-fades-lululemon-stock-taken-shot,LULU,"Momentum Fades At Lululemon, Stock Taken Out And Shot",Long
9424, Mihir Mehta,2015-09-11 13:31:00,/article/3502396-clean-energy-fuels-consider-drop,CLNE,Clean Energy Fuels: Consider On The Drop,Long
9426, Fresh Insight,2015-09-11 12:54:00,/article/3505386-activision-life-warcraft,ATVI,Activision: There's Life After Warcraft,Long
9427, Special Situations Investor,2015-09-11 12:52:00,/article/3505376-roiq-warrants-possible-100-percent-upside-2-months-special-situation-opportunity,ROIQ,ROIQ Warrants: Possible 100% Upside In 2 Months With This Special Situation Opportunity,Long
9428, L&F Capital Management,2015-09-11 12:44:00,/article/3505356-apples-iphone-installment-plan-drive-significant-sales-second-half-2015,AAPL,Apple's iPhone Installment Plan To Drive Significant Sales In Second Half 2015,Long
9430, Russ Fischer,2015-09-11 12:38:00,/article/3502266-winner-intel,INTC,And The Winner Is... Intel!,Long
9431, Brad Ginesin,2015-09-11 12:34:00,/article/3505276-ge-bull-case-30-plus,GE,GE Bull Case To 30+,Long
9432, Grant Powley,2015-09-11 12:34:00,/article/3505256-now-time-buy-gilead-sciences-inc,GILD,"Now Is The Time To Buy Gilead Sciences, Inc.",Long
9433, Valuentum,2015-09-11 12:27:00,/article/3505236-large-will-alibaba-2035-right-perspective,BABA,How Large Will Alibaba Be In 2035 ... That's The Right Perspective,Long
9434, Mark Hibben,2015-09-11 12:24:00,/article/3505226-apple-created-worlds-fastest-smartphone,AAPL,Has Apple Created The World's Fastest Smartphone?,Long
9435, The Investment Doctor,2015-09-11 12:23:00,/article/3502206-caixabank-best-largest-bank-spain,CAIXY,CaixaBank - The Best (And Largest!) Bank In Spain,Long
9436, The Investment Doctor,2015-09-11 12:21:00,/article/3502176-first-quantum-minerals-naysayers-wrong,FQVLF,First Quantum Minerals - The Naysayers Were Wrong,Long
9437, Fun Trading,2015-09-11 12:15:00,/article/3505186-ocean-rig-will-company-affected-dryships-financial-situation,ORIG,Ocean Rig: Will The Company Be Affected By Dryships Financial Situation?,Long
9439, APBK Capital,2015-09-11 11:54:00,/article/3505096-juno-therapeutics-huge-valuation-now-time-buy,JUNO,"Juno Therapeutics- A Huge Valuation, But Is Now The Time To Buy?",Long
9440, Courage & Conviction Investing,2015-09-11 11:53:00,/article/3505086-whole-foods-valuation-attracted-attention-kroger-private-equity,AMZN,Whole Foods: Has Its Valuation Attracted The Attention Of Kroger And Private Equity?,Long
9441, Noah Heiber,2015-09-11 11:37:00,/article/3505046-mitel-networks-quietly-undergoing-transformation,MITL,Mitel Networks Is Quietly Undergoing A Transformation,Long
9442, Matt Margolis,2015-09-11 11:11:00,/article/3504976-uni-pixel-still-waiting-elusive-big-one,UNXL,Uni-Pixel: Still Waiting For The Elusive Big One,Long
9443, Seth Golden,2015-09-11 11:01:00,/article/3504966-sodastream-launches-new-flavors-expanding-partnership-pepsico,SODA,SodaStream Launches New Flavors While Expanding Partnership With PepsiCo,Long
9444, Jake Huneycutt,2015-09-11 10:29:00,/article/3504886-range-resources-strong-buy-natural-gas-e-and-p-space,RRC,Range Resources: A Strong Buy In The Natural Gas E&P Space,Long
9445, Nick Clayton,2015-09-11 09:58:00,/article/3501736-metalico-buyout-nears-completion-investors-can-still-capture-7-percent-spread,MEA,Metalico Buyout Nears Completion: Investors Can Still Capture 7% Spread,Long
9446, The Entertainment Oracle,2015-09-11 09:53:00,/article/3504816-universals-the-visit-continues-show-depth-studios-scheduling-strategy,CMCSA,Universal's 'The Visit' Continues To Show Depth Of Studio's Scheduling Strategy,Long
9447, Alvaro Martí,2015-09-11 09:44:00,/article/3504796-silver-wheaton-best-way-hedge-portfolio,WPM,Silver Wheaton Is The Best Way To Hedge Your Portfolio,Long
9449, Alpha Investor,2015-09-11 08:54:00,/article/3501566-freeport-mcmoran-drop-opportunity,FCX,Freeport-McMoRan: The Drop Is An Opportunity,Long
9450, Alpha Investor,2015-09-11 08:54:00,/article/3501546-barrick-gold-lose-hope,ABX,Barrick Gold: Don't Lose Hope,Long
9451, General Expert,2015-09-11 08:52:00,/article/3501536-conns-portfolio-restructuring,CONN,Conn's Portfolio Restructuring,Long
9452, Adib Motiwala,2015-09-11 08:43:00,/article/3501516-hennessy-advisors-repurchasing-17-percent-shares-via-tender-offer,HNNA,Hennessy Advisors Is Repurchasing 17% Of Shares Via Tender Offer,Long
9453, L&F Capital Management,2015-09-11 08:39:00,/article/3504666-pier-1-macro-tailwinds-fleet-optimization-initiatives-drive-25-percent-upside,PIR,Pier 1: Macro Tailwinds And Fleet Optimization Initiatives To Drive 25% Upside,Long
9454, Aristofanis Papadatos,2015-09-11 08:30:00,/article/3504646-autozone-get-ready-next-leg,AZO,AutoZone: Get Ready For The Next Leg Up,Long
9455, Vetted Investments,2015-09-11 08:22:00,/article/3504636-kroger-click-collect-stock,KR,Kroger: Click-And-Collect This Stock,Long
9456, The Investment Doctor,2015-09-11 08:19:00,/article/3501486-dr-reddys-laboratories-still-priced-attractively,RDY,Dr. Reddy's Laboratories Is Still Priced Attractively,Long
9457, Dylan Waller,2015-09-11 08:06:00,/article/3504606-dbs-group-holdings-excellent-value-pick-singapore-despite-slow-economic-growth,DBSDY,DBS Group Holdings: An Excellent Value Pick In Singapore Despite Slow Economic Growth,Long
9458, RobinhoodStrategy,2015-09-11 08:02:00,/article/3501456-wal-mart-buy-tollboth-collect-profits,WMT,Wal-Mart: Buy A Tollboth And Collect The Profits,Long
9459, I Know First Research,2015-09-11 07:46:00,/article/3504556-wal-mart-implements-new-strategies-stay-competitive,WMT,Wal-Mart Implements New Strategies To Stay Competitive,Long
9461, Josh Arnold,2015-09-11 07:41:00,/article/3504536-dicks-sporting-goods-may-turning-corner,DKS,Dick's Sporting Goods May Be Turning The Corner,Long
9462, Josh Arnold,2015-09-11 07:33:00,/article/3504526-turning-cautiously-bullish-urban-outfitters,URBN,Turning Cautiously Bullish On Urban Outfitters,Long
9463, Dan Strack,2015-09-11 06:54:00,/article/3501326-drown-noise-buy-cvs-health,CVS,Drown Out The Noise: Buy CVS Health,Long
9464, John Abbink,2015-09-11 06:54:00,/article/3501316-general-electric-getting-alstom-purchase,GE,What Is General Electric Getting With Its Alstom Purchase?,Long
9465, Steve Guenette,2015-09-11 06:14:00,/article/3501246-chinese-weakness-holding-mead-johnson-nutrition-hostage,MJN,Chinese Weakness Holding Mead Johnson Nutrition Hostage,Long
9466, L&F Capital Management,2015-09-11 04:01:00,/article/3504266-dave-and-busters-q2-affirms-popularity-theme-dining-experience,PLAY,Dave & Buster's Q2 Affirms Popularity Of Theme Dining Experience,Long
9467, FinanceAlpha,2015-09-11 03:51:00,/article/3504216-mosaic-fertilizing-growth-shareholders,MOS,Mosaic: Fertilizing Growth For Shareholders,Long
9468, Dallas Salazar,2015-09-11 03:23:00,/article/3504156-encana-structural-integrity-optionality-misread-creating-ev-ebitda-discount,ECA,Encana: Structural Integrity And Optionality Misread Creating EV/EBITDA Discount,Long
9469, Equity Watch,2015-09-11 03:19:00,/article/3504136-significant-growth-secure-financial-performance-earn-michael-kors-bullish-thesis,KORS,Significant Growth And Secure Financial Performance Earn Michael Kors A Bullish Thesis,Long
9470, Trefis,2015-09-11 02:58:00,/article/3504096-content-licensing-will-key-driver-cbss-future-growth-amid-changing-media-landscape,CBS,Content Licensing Will Be A Key Driver For CBS's Future Growth Amid Changing Media Landscape,Long
9471, Christopher De Sousa,2015-09-10 23:09:00,/article/3500576-teranga-gold-belong-portfolio,TGCDF,Does Teranga Gold Belong In Your Portfolio?,Long
9472, Investment Standard,2015-09-10 21:04:00,/article/3503706-union-bankshares-future-growth-prospects-look-bright,UBSH,Union Bankshares: Future Growth Prospects Look Bright,Long
9473, Dhierin Bechai,2015-09-10 20:27:00,/article/3503676-boeing-1-trillion-chinese-market,BA,Boeing And The $1 Trillion Chinese Market,Long
9474, Analytic Mind,2015-09-10 18:44:00,/article/3503506-plug-powers-bull-case-strengthened-following-rodman-and-renshaw-conference,PLUG,Plug Power's Bull Case Strengthened Following Rodman & Renshaw Conference,Long
9475, Orange Peel Investments,2015-09-10 18:20:00,/article/3503446-buy-lululemon-earnings-dip,LULU,Buy The Lululemon Earnings Dip,Long
9476, Charen Investment Research,2015-09-10 17:07:00,/article/3500006-widepoint-value-growth-forced-selling-present-fantastic-opportunity,WYY,"WidePoint: Value, Growth, And Forced Selling Present A Fantastic Opportunity",Long
9477, Claudio Rizzini,2015-09-10 16:42:00,/article/3503146-intel-microsoft-will-penetrate-mobile-market-next-2-years,INTC,Intel And Microsoft Will Penetrate The Mobile Market In The Next 2 Years,Long
9478, L&F Capital Management,2015-09-10 16:37:00,/article/3503196-chipmos-35-percent-upside-driven-global-urbanization,IMOS,ChipMOS: 35% Upside Driven By Global Urbanization,Long
9479, Chris Katje,2015-09-10 16:22:00,/article/3503156-lagunitas-acquisition-suck-heineken,HEINY,Lagunitas Acquisition Doesn't 'Suck' For Heineken,Long
9480," Tony Abbate, CFA",2015-09-10 16:05:00,/article/3503136-national-bankshares-undervalued-underfollowed-small-bank-offers-nice-return-potential,NKSH,"National Bankshares: Undervalued, Underfollowed Small Bank That Offers Nice Return Potential",Long
9481, Fun Trading,2015-09-10 15:47:00,/article/3503006-transcocean-take-jeremy-thigpens-presentation-barclays-conference,RIG,Transcocean: My Take On Jeremy Thigpen's Presentation At Barclay's Conference,Long
9482, Quad 7 Capital,2015-09-10 15:35:00,/article/3502936-plug-power-global-powerhouse,PLUG,Plug Power: A Global Powerhouse?,Long
9483, Modis,2015-09-10 15:32:00,/article/3499746-redhill-biopharma-9-late-stage-clinical-assets-150-million-market-cap-undervalued,RDHL,"RedHill Biopharma - 9 Late Stage Clinical Assets, $150 Million Market Cap - Is It Undervalued?",Long
9484, Stone Fox Capital,2015-09-10 15:31:00,/article/3499736-schlumberger-troubles-lower-margin-business-addition,SLB,Schlumberger: Troubles Of A Lower Margin Business Addition,Long
9485, Brian Nichols,2015-09-10 15:22:00,/article/3502886-yahoo-still-lot-options-irs-feedback,AABA,Yahoo Still Has A Lot Of Options After The IRS Feedback,Long
9486, Stone Fox Capital,2015-09-10 15:13:00,/article/3499656-united-airlines-ceo-change-worse-move,UAL,United Airlines: A CEO Change Is Not The Worse Move,Long
9487, The Value Portfolio,2015-09-10 15:07:00,/article/3499616-transocean-improving-position-every-day,RIG,Transocean - Improving Its Position Every Day,Long
9489, Nikolaos Giannoulis,2015-09-10 14:21:00,/article/3499466-epc-contractor-looks-really-cheap-metka-trades-significant-discount-peers,MTKAF,This EPC Contractor Looks Really Cheap: METKA Trades At Significant Discount To Its Peers,Long
9490, Benjamin Padnos,2015-09-10 14:20:00,/article/3502676-energous-ceo-know-shorts,WATT,What Does Energous CEO Know That The Shorts Don't?,Long
9491, Lester Goh,2015-09-10 14:13:00,/article/3502616-trc-companies-solid-q4-draw-wall-street-attention,TRR,TRC Companies: Solid Q4 Should Draw Wall Street Attention,Long
9492, Sramana Mitra,2015-09-10 14:06:00,/article/3502596-homeaway-attempts-regain-market-confidence-tie-ups,AWAY,HomeAway Attempts To Regain Market Confidence Through Tie-Ups,Long
9493, Kevin Quon,2015-09-10 14:01:00,/article/3499366-unit-corporation-far-stable-market-believes,UNT,Why Unit Corporation Is Far More Stable Than The Market Believes,Long
9494," Port Wren Capital, LLC",2015-09-10 13:58:00,/article/3502556-helmerich-and-payne-89_5-percent-backlog-undervalued,HP,"Helmerich & Payne - 89.5% Backlog, And It's Undervalued",Long
9495, Peter Arendas,2015-09-10 13:51:00,/article/3499326-balmorals-grasset-deposit-keeps-growing,BALMF,Balmoral's Grasset Deposit Keeps On Growing,Long
9497, Alpha Max,2015-09-10 13:43:00,/article/3502466-latest-ssds-drive-sandisks-growth-share-price,WDC,The Latest SSDs To Drive SanDisk's Growth And Share Price,Long
9498, Michael Boyd,2015-09-10 13:30:00,/article/3499226-borgwarner-look-past-fx-issues,BWA,BorgWarner: Look Past FX Issues,Long
9499, Nick Clayton,2015-09-10 13:26:00,/article/3499206-planar-50-percent-upside,PLNR,Planar Has 50% Upside,Long
9500, Juri Zguri,2015-09-10 13:21:00,/article/3502376-gopro-shares-heavily-undervalued,GPRO,GoPro Shares Are Heavily Undervalued,Long
9501, WYCO Researcher,2015-09-10 13:02:00,/article/3502336-make-money-government-red-tape-buying-trc-companies-inc,TRR,"Make Money From Government ""Red Tape"" Buying TRC Companies Inc.",Long
9502, Maarten Pieters,2015-09-10 13:01:00,/article/3499086-nam-tai-property-sellers-cleared-significant-upside-patient-investor,NTP,"Nam Tai Property - Sellers Cleared Out, Significant Upside For The Patient Investor",Long
9503, Daniel James,2015-09-10 13:00:00,/article/3502326-slowdown-yet-palo-alto-networks,PANW,No Slowdown Yet For Palo Alto Networks,Long
9504, Ryan Crane,2015-09-10 12:50:00,/article/3502286-straight-path-communications-update-first-fcc-now-verizons-news,STRP,Straight Path Communications Update: First The FCC And Now Verizon's News,Long
9505, Joseph Harry,2015-09-10 12:26:00,/article/3502236-drink-diageo-deal,DEO,Drink Up! Diageo Is A Deal,Long
9506, Brian Nichols,2015-09-10 12:24:00,/article/3502216-bradley-jacobs-gives-xpo-logistics-investors-profits-desperately-wanted,XPO,Bradley Jacobs Gives XPO Logistics Investors The Profits They So Desperately Wanted,Long
9507, APBK Capital,2015-09-10 12:23:00,/article/3502196-market-volatility-leaves-behind-bargain-cancer-biotech-adaptimmune,ADAP,Market Volatility Leaves Behind Bargain Cancer Biotech - Adaptimmune,Long
9508, DoctoRx,2015-09-10 12:15:00,/article/3502126-mr-market-errs-apple-unlikely-stopped-rise-heights,AAPL,Mr. Market Errs: Apple Is Unlikely To Be Stopped In Its Rise To Further Heights,Long
9509, Joe Albano,2015-09-10 12:06:00,/article/3502106-bought-intel-came-micron,MU,"So I Bought More Intel, And It Came With Some Micron",Long
9510, Doug Young,2015-09-10 12:04:00,/article/3502096-alipay-checks-hk-marriott-tie,BABA,Alipay Checks In To HK With Marriott Tie-Up,Long
9511, Monte Sol Capital,2015-09-10 12:01:00,/article/3502086-long-case-nicholas-financial-part-2,NICK,A Long Case For Nicholas Financial - Part 2,Long
9512, SqueezeMetrics,2015-09-10 11:43:00,/article/3502066-yandex-compelling-macro-bet,YNDX,Yandex - A Compelling Macro Bet,Long
9513, Simple Investment Ideas,2015-09-10 11:40:00,/article/3502056-nrg-energy-leading-green-transition,NRG,NRG Energy - Leading The Green Transition,Long
9514, The Investment Doctor,2015-09-10 11:28:00,/article/3498816-wacker-chemie-lower-capex-will-drive-free-cash-flow-growth,WKCMF,Wacker Chemie: Lower Capex Will Drive Free Cash Flow Growth,Long
9515, Lester Goh,2015-09-10 11:09:00,/article/3501976-apple-new-upgrade-program-key-iphone-6s-6s-plus-release,AAPL,"Apple: New Upgrade Program Key To iPhone 6s, 6s Plus Release",Long
9517," Port Wren Capital, LLC",2015-09-10 10:46:00,/article/3501876-u-s-steel-40_7-percent-undervalued-turnaround-opportunity,X,U.S. Steel: 40.7% Undervalued Turnaround Opportunity,Long
9518, The Investment Doctor,2015-09-10 10:44:00,/article/3498656-billabongs-turnaround-plans-seem-paying,BLLAF,Billabong's Turnaround Plans Seem To Be Paying Off,Long
9519, Fun Trading,2015-09-10 10:34:00,/article/3501836-sandstorm-gold-new-assets-update,SAND,Sandstorm Gold: New Assets Update,Long
9520, The Investment Doctor,2015-09-10 10:21:00,/article/3498596-looking-value-roadrunner-transportation-systems,RRTS,Looking For Value In Roadrunner Transportation Systems,Long
9523, The Investment Doctor,2015-09-10 10:10:00,/article/3498526-centene-caught-attention-bought-discount-health-net,CNC,Centene Has Caught My Attention - And Could Be Bought At A Discount Through Health Net,Long
9524, DoctoRx,2015-09-10 10:08:00,/article/3501776-amgen-vs-regeneron-pcsk9i-war-comments-competitive-threats,AMGN,"Amgen Vs. Regeneron In The PCSK9i War, With Comments On Competitive Threats",Long
9525, The Investment Doctor,2015-09-10 10:00:00,/article/3498476-aureus-mining-remains-track-declare-commercial-production-q4,ARSMF,Aureus Mining Remains On Track To Declare Commercial Production In Q4,Long
9526, Disruptive Investor,2015-09-10 09:57:00,/article/3498466-reasons-bullish-rowan-companies,RDC,Reasons To Be Bullish On Rowan Companies,Long
9527, Brandon Dempster,2015-09-10 09:55:00,/article/3501726-kinder-morgan,KMI,Why Do You Own Kinder Morgan?,Long
9528, Finding Value,2015-09-10 09:43:00,/article/3501706-canadian-oil-sands-new-headwinds-create-buying-opportunity,COSWF,Canadian Oil Sands - Do New Headwinds Create A Buying Opportunity?,Long
9529, Mark Hibben,2015-09-10 09:43:00,/article/3501696-apples-september-event-ipad-pro-steals-show,AAPL,Apple's September Event: iPad Pro Steals The Show,Long
9530, Alpha Gen Capital,2015-09-10 08:48:00,/article/3498196-spanish-broadcasting-dynamic-play-burgeoning-hispanic-population,SBSA,Spanish Broadcasting Is A Dynamic Play On The Burgeoning Hispanic Population,Long
9531, Spy Hill Research,2015-09-10 08:25:00,/article/3498076-fishing-value-high-liner-foods,HLNFF,Fishing For Value With High Liner Foods,Long
9532, Alpha Gen Capital,2015-09-10 08:23:00,/article/3498066-monotype-imaging-holdings-verge,TYPE,Monotype Imaging Holdings Is On The Verge,Long
9533, The Investment Doctor,2015-09-10 08:07:00,/article/3498046-kenmare-resources,KMRPF,"What Should We Do With You, Kenmare Resources?",Long
9534, IP Banking Research,2015-09-10 07:54:00,/article/3501446-citigroup-pivotal-week-stock,C,Citigroup: A Pivotal Week For The Stock,Long
9535, Katherine Schrank,2015-09-10 07:52:00,/article/3498006-cummins-competitive-energy-metrics,CMI,Cummins Is Competitive On Energy Metrics,Long
9536, The Investment Doctor,2015-09-10 07:50:00,/article/3497996-waiting-higher-rutile-price-sierra-rutile,TNUMF,Waiting For A Higher Rutile Price With Sierra Rutile,Long
9537, Mihir Mehta,2015-09-10 07:38:00,/article/3497966-westport-innovations-comeback-possibility,WPRT,Is Westport Innovations' Comeback A Possibility?,Long
9538, The Investment Doctor,2015-09-10 07:35:00,/article/3497956-capstone-mining-feeling-pressure,CSFFF,Capstone Mining Is Feeling The Pressure,Long
9540, Speeder,2015-09-10 05:25:00,/article/3501146-michael-kors-long-opportunity,KORS,Michael Kors: Long Opportunity,Long
9541, Aristofanis Papadatos,2015-09-10 05:10:00,/article/3501106-30th-stock-dow-jones,TRV,The 30th Stock Of The Dow Jones,Long
9542," Paul Goncalves, CFA",2015-09-10 05:00:00,/article/3501076-lear-corp-opportunity-growing-auto-components-business-discount-peers,LEA,Lear Corp: Opportunity To Own A Growing Auto Components Business At Discount To Peers,Long
9543, Enceladus Research,2015-09-10 02:55:00,/article/3500866-scoring-china-distance-education,DL,Scoring With China Distance Education,Long
9544, Dallas Salazar,2015-09-10 02:52:00,/article/3500856-exco-bluescape-engagement-strategic-turnaround-review,XCO,EXCO: A Bluescape Engagement And Strategic Turnaround Review,Long
9545, Arie Goren,2015-09-10 02:32:00,/article/3500826-best-s-and-p-500-industrial-stocks-according-winning-ranking-system-buy-southwest-airlines,LUV,Best S&P 500 Industrial Stocks According To A Winning Ranking System: Buy Southwest Airlines,Long
9546, Dallas Salazar,2015-09-10 02:25:00,/article/3500816-halliburton-increased-baker-hughes-m-visibility-applauded-street,HAL,Halliburton: Increased Baker Hughes M&A Visibility Applauded By The Street,Long
9547, LD Investments,2015-09-10 02:05:00,/article/3500796-tiffany-and-co-outlook-chinese-luxury-demand,TIF,Tiffany & Co: Outlook For Chinese Luxury Demand,Long
9548, Equity Watch,2015-09-10 01:57:00,/article/3500776-dollar-general-making-right-strategic-decisions,DG,Dollar General - Making The Right Strategic Decisions,Long
9549, Equity Watch,2015-09-10 01:43:00,/article/3500756-balanced-price-approach-aggressive-productivity-improvement-efforts-earn-dean-foods-bullish,DF,Balanced Price Approach And Aggressive Productivity Improvement Efforts Earn Dean Foods Bullish Thesis,Long
9550, Willow Street Investments,2015-09-10 01:41:00,/article/3500736-patterson-companies-post-earnings-sell-overdone-transformation-complete,PDCO,Patterson Companies: Post-Earnings Sell-Off Overdone As Transformation Is Complete,Long
9551, Mark Kusnir,2015-09-10 00:40:00,/article/3500656-ignore-declining-revenues-goodyear-increasing-profits,GT,"Ignore Declining Revenues, Goodyear Is Increasing Profits",Long
9552, Individual Trader,2015-09-09 23:45:00,/article/3497356-freeport-mcmoran-still-cheap-10,FCX,Freeport-McMoRan Still Cheap At $10,Long
9553, Scrying Biotech,2015-09-09 23:24:00,/article/3500596-ocata-therapeutics-watching-bluebird-go,OCAT,Ocata Therapeutics: Are You Watching A Bluebird Go By?,Long
9555, The Investment Doctor,2015-09-09 22:59:00,/article/3497306-glencore-taking-necessary-steps-keep-investment-grade-rating,GLCNF,Glencore Is Taking The Necessary Steps To Keep Its Investment Grade Rating,Long
9556, Travis Brown,2015-09-09 22:54:00,/article/3497296-news-release-federal-government-increases-fannie-mae-funding-proposes-new-incentives,FNMA,News Release: Federal Government Increases Fannie Mae Funding And Proposes New Incentives,Long
9557, Gary Bourgeault,2015-09-09 19:37:00,/article/3500276-alibaba-needs-zero-growing-customer-base,BABA,Why Alibaba Needs To Zero In On Growing Customer Base,Long
9558, Albert Alfonso,2015-09-09 18:42:00,/article/3500206-official-general-electric-secures-eu-approval-alstom-deal,GE,It's Official: General Electric Secures EU Approval For Alstom Deal,Long
9559, Mihir Mehta,2015-09-09 18:25:00,/article/3496866-stay-invested-diamond-offshore,DO,Should You Stay Invested In Diamond Offshore?,Long
9560, Anthony Ruben,2015-09-09 18:18:00,/article/3500156-transocean-ceo-shows-leadership-impresses,RIG,"Transocean CEO Shows Leadership, Impresses",Long
9561, Elephant Analytics,2015-09-09 18:11:00,/article/3496786-abraxas-petroleum-attractively-valued-smaller-producer-good-cost-structure,AXAS,Abraxas Petroleum - An Attractively Valued Smaller Producer With A Good Cost Structure,Long
9563, The Value Portfolio,2015-09-09 17:55:00,/article/3496696-spectra-energy-increasing-stock-price-long-term,ENB,Spectra Energy - Increasing Stock Price Over The Long Term,Long
9564, Brian Sanders,2015-09-09 17:51:00,/article/3500106-another-attractive-entry-point-cnooc,CEO,Another Attractive Entry Point For CNOOC,Long
9565, Steve Guenette,2015-09-09 17:45:00,/article/3496656-spirit-airlines-looking-attractive-around-50,SAVE,Spirit Airlines Looking Very Attractive Around $50,Long
9566, Dallas Salazar,2015-09-09 16:52:00,/article/3499956-hess-ev-ebitda-discount-peers-asset-base-garner-takeover-bids,HES,Hess - EV/EBITDA Discount To Peers And Asset Base Could Garner Takeover Bids,Long
9567, Ken McGaha,2015-09-09 16:26:00,/article/3496416-get-inside-outerwall-fair-valuations-return,OUTR,Get Inside Outerwall Before Fair Valuations Return,Long
9568, Chris DeMuth Jr.,2015-09-09 16:25:00,/article/3496396-safe-11-percent-annual-return-teco-energy,TE,Safe 11% Annual Return With TECO Energy,Long
9569, Investment Biker,2015-09-09 16:19:00,/article/3496376-videocon-d2h-early-stage-growth-story-attractive-valuations,VDTH,Videocon D2h: Early-Stage Growth Story At Attractive Valuations,Long
9570, Don Dion,2015-09-09 16:16:00,/article/3496356-buy-twitter-starts-diversify,TWTR,Buy Twitter As It Starts To Diversify,Long
9571, Stone Fox Capital,2015-09-09 15:59:00,/article/3496286-chuys-time-caution,CHUY,Chuy's: Time For Caution,Long
9572, Alexander Valtsev,2015-09-09 15:52:00,/article/3496276-lydall-second-chance-buy-fast-growing-stock,LDL,Lydall: You Have A Second Chance To Buy This Fast-Growing Stock,Long
9573, Les Mezei,2015-09-09 15:29:00,/article/3499716-exclusive-interview-mcig-ceo-paul-rosenberg,MCIG,An Exclusive Interview With mCig CEO Paul Rosenberg,Long
9574, Long Player,2015-09-09 15:22:00,/article/3496196-east-west-petroleum-rolling-dice-low-cost-production,EWPMF,East West Petroleum - Rolling The Dice For Some Very Low Cost Production,Long
9577, Jim Kimmelman,2015-09-09 14:54:00,/article/3499576-worst-las-vegas-sands,LVS,The Worst Is Over For Las Vegas Sands,Long
9578, Alpha Investor,2015-09-09 14:45:00,/article/3496056-pioneer-natural-resources-ignore-positives,PXD,Pioneer Natural Resources - Don't Ignore The Positives,Long
9579, Alpha Investor,2015-09-09 14:37:00,/article/3496036-remain-invested-peabody-energy,BTU,Should You Remain Invested In Peabody Energy?,Long
9580, Lou Basenese,2015-09-09 14:27:00,/article/3496016-clearsign-combustion-california-regulator-poised-deliver-156-million-sales-windfall,CLIR,Clearsign Combustion: California Regulator Poised To Deliver A $156 Million Sales Windfall?,Long
9581, Bret Jensen,2015-09-09 14:27:00,/article/3496006-celgene-time-buy-dip,CELG,Celgene: Time To Buy The Dip,Long
9582, Alpha Source,2015-09-09 14:20:00,/article/3499436-importance-aqua-americas-q2-2015-earnings,WTR,The Importance Of Aqua America's Q2 2015 Earnings,Long
9583, Josh Arnold,2015-09-09 14:13:00,/article/3499416-cosi-looks-like-speculative-buy-1,COSI,Cosi Looks Like A Speculative Buy At $1,Long
9585, Alexander Valtsev,2015-09-09 14:10:00,/article/3495946-hurco-companies-hi-tech-engineering-small-cap-now-steal,HURC,Hurco Companies: This Hi-Tech Engineering Small-Cap Is Now A Steal,Long
9586, Jason Hamlin,2015-09-09 14:06:00,/article/3499376-aurico-metals-new-royalty-kid-block,ARCTF,Aurico Metals Is The New Royalty Kid On The Block,Long
9587, Stockalysis,2015-09-09 13:42:00,/article/3499266-navistar-stock-shopping-list,NAV,Navistar: Should This Stock Be On Your Shopping List?,Long
9588, Chris DeMuth Jr.,2015-09-09 13:35:00,/article/3495846-23-percent-return-vonovia-squeeze,GGFHF,23% Return With The Vonovia Squeeze-Out,Long
9589, Darspal S Mann,2015-09-09 13:22:00,/article/3495766-alpha-omega-can-make-comeback,AOSL,Alpha And Omega: Can Make A Comeback,Long
9590, Connor Davidson,2015-09-09 13:09:00,/article/3495736-drax-group-asymmetric-bet-significantly-undervalued-utility,DRXGY,Drax Group: An Asymmetric Bet On A Significantly Undervalued Utility,Long
9591, Somint Research,2015-09-09 12:54:00,/article/3499076-finding-fitbits-implied-growth-sell-side-analysts,FIT,Finding FitBit's Implied Growth By Sell-Side Analysts,Long
9592, Lester Goh,2015-09-09 12:50:00,/article/3499046-american-axle-low-double-digit-fcf-yield-substantial-upside-potential,AXL,American Axle: Low Double-Digit FCF Yield With Substantial Upside Potential,Long
9593, Henry Huynh,2015-09-09 12:46:00,/article/3499036-nike-wonderful-company-fair-price,NKE,Nike: A Wonderful Company At A Fair Price,Long
9594, Pair-Wise Investments,2015-09-09 12:42:00,/article/3495646-citigroup-getting-kicked-key-regions,C,Citigroup Is Getting Kicked In Key Regions,Long
9595, Don Dion,2015-09-09 12:28:00,/article/3495596-buy-gm-fiat-chrysler,GM,Buy GM Before Fiat Chrysler Does,Long
9596, Dan Stringer,2015-09-09 12:24:00,/article/3495586-silicom-recent-past-predictive-future,SILC,Silicom: The Recent Past Is Not Predictive Of The Future,Long
9598, Ken McGaha,2015-09-09 12:04:00,/article/3495506-time-buy-gilead-sciences,GILD,It's Time To Buy Gilead Sciences...Again!,Long
9599, Greg Vanderford,2015-09-09 12:02:00,/article/3498946-solar-city-excellent-company-long-term-investors-seeking-growth,TSLA,Solar City Is An Excellent Company For Long-Term Investors Seeking Growth,Long
9600, Achilles Research,2015-09-09 11:51:00,/article/3498916-bank-america-lot-noise-wrong-reasons,BAC,"Bank Of America: A Lot Of Noise, But For All The Wrong Reasons",Long
