Authors,Link,Tickers,Time,Title,Strategy
 Motek Moyen,/article/4083638-intel-axed-internet-things-related-consumer-products,INTC," Jun. 23, 2017, 5:28 PM ",Why Intel Axed Some Of Its Internet Of Things-Related Consumer Products,Long
 Kumquat Research,/article/4083631-apple-growth,AAPL," Jun. 23, 2017, 4:53 PM ",Apple: Where's The Growth?,Long
 Michael Rogus,/article/4083624-home-positioned-years-solid-growth,HOME," Jun. 23, 2017, 4:46 PM ",At Home - Positioned For Years Of Solid Growth,Long
 All American Investor,/article/4083616-ralph-laurens-problems-reflected-price,RL," Jun. 23, 2017, 4:16 PM ",Ralph Lauren's Problems Are Reflected In Its Price,Long
 Kumquat Research,/article/4083620-imax-buy-drop,IMAX," Jun. 23, 2017, 4:03 PM ",IMAX: Buy On The Drop?,Long
 Truth Investor,/article/4083618-gilead-sentiment-changing,GILD," Jun. 23, 2017, 3:59 PM ",Gilead: Is Sentiment Changing?,Long
 Orthodox Investor,/article/4083606-freeport-mcmoran-opportunity-risk-savvy-investor,FCX," Jun. 23, 2017, 3:46 PM ",Freeport-McMoRan: An Opportunity For The Risk Savvy Investor?,Long
 Quad 7 Capital,/article/4083613-bed-bath-and-beyond-contemplating-disaster-weekend,BBBY," Jun. 23, 2017, 3:36 PM ",Bed Bath & Beyond: Contemplating Disaster This Weekend,Long
 Federico Torre,/article/4083589-discovery-communications-undervalued-opportunity,"DISCA, DISCB, DISCK"," Jun. 23, 2017, 3:05 PM ","Discovery Communications, An Undervalued Opportunity",Long
 Quad 7 Capital,/article/4083596-frontier-communications-actually-really-simple,FTR," Jun. 23, 2017, 3:01 PM ","Frontier Communications: Actually, It Really Is That Simple",Long
 Brandon Dempster,/article/4083583-conocophillips-definite-buy,COP," Jun. 23, 2017, 2:44 PM ",ConocoPhillips: A Definite Buy,Long
 Brad MacIntosh,/article/4083581-west-fraser-timber-stock-may-outperform-home-depot,WFTBF," Jun. 23, 2017, 2:32 PM ",West Fraser: A Timber Stock That May Outperform Home Depot,Long
 Quad 7 Capital,/article/4083588-sonic-wrong,SONC," Jun. 23, 2017, 2:28 PM ",Sonic: Could I Be Wrong?,Long
 Oleh Kombaiev,/article/4083573-alphabet-valuation-multiples-something,"GOOG, GOOGL"," Jun. 23, 2017, 1:47 PM ",Alphabet: Valuation Multiples And Something More...,Long
 Quad 7 Capital,/article/4083572-one-anticipated-days-retail,FINL," Jun. 23, 2017, 1:09 PM ",One Of The Most Anticipated Days In Retail,Long
 Austrolib,/article/4083566-corbus-pharmaceuticals-can-hit-new-highs-years-end,CRBP," Jun. 23, 2017, 12:27 PM ",Corbus Pharmaceuticals Can Hit New Highs By Year's End,Long
 Future Growth Investor,/article/4083523-top-summer-idea-2017-take-two-interactive,TTWO," Jun. 23, 2017, 11:20 AM ",Top Summer Idea 2017: Take Two Interactive,Long
 Bespoke Investment Group,/article/4083535-oracles-overbought-close-ever,ORCL," Jun. 23, 2017, 11:13 AM ",Oracle's Most Overbought Close Ever,Long
 Michael Rogus,/article/4083520-tractor-supply-company,TSCO," Jun. 23, 2017, 11:09 AM ",Tractor Supply Company:,Long
 Kumquat Research,/article/4083510-epyc-vs-xeon,AMD," Jun. 23, 2017, 10:40 AM ",Epyc Vs. Xeon,Long
 Kush Patel,/article/4083519-facebook-overvalued-undervalued,FB," Jun. 23, 2017, 10:31 AM ",Is Facebook Overvalued Or Undervalued?,Long
 Manole Capital Management,/article/4083516-amazon-pay-opportunity-payments,AMZN," Jun. 23, 2017, 10:17 AM ",Amazon Pay And The Opportunity In Payments,Long
 Shareholders Unite,/article/4083499-tesla-may-taken-wrong-turn-lidar,TSLA," Jun. 23, 2017, 9:48 AM ",Tesla May Have Taken Wrong Turn On Lidar,Long
 Adem Tumerkan,/article/4083494-paramount-gold-nevada-low-risk-leveraged-play,PZG," Jun. 23, 2017, 9:30 AM ","Paramount Gold Nevada: Low-Risk, Leveraged Play",Long
 Kenkyo Investing,/article/4083487-seven-gms-exposure-overshadows-c-store-growth,"SVNDY, SVNDF"," Jun. 23, 2017, 8:59 AM ",Seven & i: GMS Exposure Overshadows C-Store Growth,Long
 James Brumley,/article/4083493-take-note-hint-gilead-sciences-just-dropped,GILD," Jun. 23, 2017, 8:56 AM ",Take Note Of The Hint Gilead Sciences Just Dropped,Long
 Alex Cho,/article/4083492-amd-beating-intel-lately,AMD," Jun. 23, 2017, 8:55 AM ",Why AMD Has Been Beating Intel Lately,Long
 Bank On Insight,/article/4083482-goodbye-sears-canada-welcome-back-life-hudsons-bay,"HBAYF, SHLD, SRSC"," Jun. 23, 2017, 7:55 AM ","Goodbye Sears Canada, Welcome Back To Life, Hudson's Bay!",Long
 Elliott R. Morss,/article/4083475-amazon-purchases-whole-foods-global-context,"AMZN, WMT, KR"," Jun. 23, 2017, 7:29 AM ",Amazon Purchases Whole Foods: The Global Context,Long
 David Alton Clark,/article/4083383-citigroup-destined-double,C," Jun. 23, 2017, 7:27 AM ",Citigroup Is Destined To Double,Long
" Jun. 23, 2017, 6:30 AM ",/article/4083467-stock-exchange-traders-joining-yield-chase,Editors' Pick ," HST, TLT, HDS",Stock Exchange: Are Traders Joining The Yield Chase?,Long
 Manoj Madhavan,/article/4083466-lending-following-malones-playbook-t-ree,TREE," Jun. 23, 2017, 6:18 AM ",Lending Is Following Malone's Playbook To A T(Ree),Long
 Kirk Spano,/article/4083460-leaping-encana-big-potential-gains,ECA," Jun. 23, 2017, 5:44 AM ",LEAPing Into Encana For Big Potential Gains,Long
 EnerTuition,/article/4083457-polysilicon-market-seems-headed-realignment,"DQ, RNWEF"," Jun. 23, 2017, 5:27 AM ",Polysilicon Market Seems Headed For A Realignment,Long
 Nick Cox,/article/4083450-teslas-asia-moves-reflect-wider-story,TSLA," Jun. 23, 2017, 4:59 AM ",Tesla's Asia Moves Reflect A Wider Story,Long
 Joseph Harry,/article/4083436-accenture-tanks-earnings,ACN," Jun. 23, 2017, 3:38 AM ",Accenture Tanks After Earnings,Long
 Brandon Dempster,/article/4083431-valero-simple-smart-buy,VLO," Jun. 23, 2017, 3:23 AM ","Valero: A Simple, Smart Buy",Long
 Gold Mining Bull,/article/4083426-energy-stock-yields-4-percent-will-grow-dividends-30-percent-annually,AM," Jun. 23, 2017, 2:15 AM ",This Energy Stock Yields 4% And Will Grow Dividends By 30% Annually,Long
 Mark Hibben,/article/4083423-idc-sees-wearables-market-nearly-doubling-2021,AAPL," Jun. 23, 2017, 1:48 AM ",IDC Sees Wearables Market Nearly Doubling By 2021,Long
 Nimish Garg,/article/4083411-caci-international-investment-safer-future,CACI," Jun. 22, 2017, 11:52 PM ",CACI International: An Investment Into A Safer Future,Long
 Alex Cho,/article/4083403-amds-path-datacenter-revenue-growth-impacts-intel,AMD," Jun. 22, 2017, 9:56 PM ",AMD's Path To Datacenter Revenue Growth And How It Impacts Intel,Long
 Kush Patel,/article/4083398-unknown-mid-cap-canadian-eim-developer-56-percent-upside,OTEX," Jun. 22, 2017, 8:26 PM ",Unknown Mid-Cap Canadian EIM Developer Has A 56% Upside,Long
 Focus Equity,/article/4083397-epyc-launch-amd,AMD," Jun. 22, 2017, 8:01 PM ",An EPYC Launch By AMD,Long
 Stone Fox Capital,/article/4083396-twitter-turning-revenue-trend,TWTR," Jun. 22, 2017, 7:26 PM ",Twitter: The Turning Revenue Trend,Long
 Capital Market Laboratories,/article/4083395-nvidias-upside-still-misunderstood,NVDA," Jun. 22, 2017, 7:18 PM ",Nvidia's Upside Is Still Misunderstood,Long
 Anton Wahlman,/article/4083387-toyota-camry-now-53-mpg-tesla-model-3,TM," Jun. 22, 2017, 6:13 PM ",Toyota Camry Now At 53 MPG: What Tesla Model 3?,Long
" Jun. 22, 2017, 4:00 PM ",/article/4079690-long-case-taro-pharmaceutical,Editors' Pick , TARO,The Long Case For Taro Pharmaceutical,Long
 Societe Financiers,/article/4083349-mplx-lp-partnership-attractive-undervalued,MPLX," Jun. 22, 2017, 3:52 PM ",MPLX LP Partnership: Attractive And Undervalued,Long
 Quad 7 Capital,/article/4083348-carnival-now-time,CCL," Jun. 22, 2017, 3:20 PM ",Carnival: It Is Now Time,Long
 Orthodox Investor,/article/4083341-wal-mart-still-attractive,WMT," Jun. 22, 2017, 3:16 PM ",Wal-Mart Is Still Attractive,Long
 Trapping Value,/article/4083337-marc-cohodes-vs-buffett-bring-bibi-gun-nuclear-fight,HMCBF," Jun. 22, 2017, 3:11 PM ",Marc Cohodes Vs. Buffett: Don't Bring A Bibi Gun To A Nuclear Fight,Long
 Integer Investments,/article/4083314-aging-baby-boomer-population-can-drive-growth-service-corp-international,SCI," Jun. 22, 2017, 2:40 PM ",Aging Baby Boomer Population Can Drive Growth For Service Corp. International,Long
 FIG Ideas,/article/4083307-financial-sector-opportunities-launch-unlocking-risk-adjusted-return-large-diverse-industry,SIVB," Jun. 22, 2017, 1:57 PM ",Financial Sector Opportunities Launch: Unlocking Risk Adjusted Return In A Large And Diverse Industry Group,Long
 Quad 7 Capital,/article/4083303-kroger-steps,KR," Jun. 22, 2017, 1:36 PM ",Kroger Steps Up... Or Does It?,Long
 Quad 7 Capital,/article/4083263-carmax-see,KMX," Jun. 22, 2017, 1:21 PM ",CarMax: Did You See This?,Long
 Jonathan Jordan,/article/4083259-face-heel-prospects-glu-mobiles-new-wwe-game,GLUU," Jun. 22, 2017, 1:10 PM ",Face Or Heel? The Prospects For Glu Mobile's New WWE Game,Long
 Robert Riesen,/article/4083245-10-reasons-buy-apple-now,AAPL," Jun. 22, 2017, 11:55 AM ",10 Reasons You Should Buy Apple Now,Long
 Orange Peel Investments,/article/4083225-buying-macys-right-now-activist-investor-acquirer-likely,M," Jun. 22, 2017, 11:29 AM ",Buying Macy's Right Now: Activist Investor Or Acquirer Likely,Long
 Long Player,/article/4083234-lonestar-resources-now-talking,LONE," Jun. 22, 2017, 11:27 AM ",Lonestar Resources: Now We Are Talking,Long
 Long Player,/article/4083220-spartan-energy-bargain,PTORF," Jun. 22, 2017, 11:16 AM ",Spartan Energy Is A Bargain,Long
" Jun. 22, 2017, 10:55 AM ",/article/4082918-pacbio-back-square-one-definitely-back-show-me-story,Editors' Pick , PACB,PacBio Not Back To Square One But Definitely Back To A 'Show Me' Story,Long
 Quad 7 Capital,/article/4083222-fedex-will-take-time,FDX," Jun. 22, 2017, 10:51 AM ",FedEx: It Will Take Time,Long
 IP Banking Research,/article/4083219-citigroup-importance-ccar,C," Jun. 22, 2017, 10:45 AM ",Citigroup: The Importance Of CCAR,Long
 Callum Turcan,/article/4083215-continental-resources-profitable-50-wti-40,CLR," Jun. 22, 2017, 10:39 AM ","Continental Resources Profitable At $50 WTI, Not $40",Long
 DoctoRx,/article/4083201-costco-store-value,COST," Jun. 22, 2017, 10:27 AM ",Costco: Store Of Value,Long
 Individual Trader,/article/4083194-gilead-conundrum,GILD," Jun. 22, 2017, 10:13 AM ",Gilead: The Conundrum,Long
" Jun. 22, 2017, 10:00 AM ",/article/4082893-teekay-corporation-highest-conviction-long-idea-ever,Editors' Pick , TK,Teekay Corporation: Our Highest Conviction Long Idea Ever,Long
 Samuel Smith,/article/4083189-alliance-data-systems-continued-impressive-growth-faces-significant-headwinds,ADS," Jun. 22, 2017, 9:42 AM ",Alliance Data Systems: Continued Impressive Growth Faces Significant Headwinds,Long
" Jun. 22, 2017, 9:17 AM ",/article/4083191-omeros-gaining-momentum-diverse-pipeline,Editors' Pick , OMER,Omeros Is Gaining Momentum With A Diverse Pipeline,Long
 Brian Bain,/article/4083122-aggressively-buying-hormel-ian-bezek,HRL," Jun. 22, 2017, 9:00 AM ",Why I'm Aggressively Buying Hormel (Ian Bezek),Long
 Celeritas Investments,/article/4083169-murphy-oil-high-upside-potential,MUR," Jun. 22, 2017, 8:51 AM ",Murphy Oil: High Upside Potential,Long
 Erik Kobayashi-Solomon,/article/4083173-5-minute-valuation-kroger,KR," Jun. 22, 2017, 8:35 AM ",5 Minute Valuation Of Kroger,Long
 Terry A. Graffis,/article/4083154-microcap-stock-meeting-ben-grahams-criteria-investment-kewaunee-scientific-corporation,KEQU," Jun. 22, 2017, 8:09 AM ",A Microcap Stock Meeting Most Of Ben Graham's Criteria For Investment: Kewaunee Scientific Corporation,Long
 The First Mover,/article/4083156-nomura-interesting-times-interesting-price,NMR," Jun. 22, 2017, 7:42 AM ",Nomura: Interesting Times And Interesting Price,Long
 Cash-Centered Creep,/article/4083145-amazon-dealt-macys-death-blow,M," Jun. 22, 2017, 7:14 AM ",Has Amazon Dealt Macy's A Death Blow?,Long
 Brandon Dempster,/article/4083137-alcoa-buy-30,AA," Jun. 22, 2017, 6:26 AM ",Alcoa: A Buy Below $30?,Long
 Save Money Retire Early,/article/4083119-shopify-capital-returns-20-percent-25-percent,SHOP," Jun. 22, 2017, 6:25 AM ",Shopify Capital: Returns Of 20% To 25%,Long
 Daniel Jones,/article/4083124-chicago-bridge-and-iron-macquarie-looking-justification,CBI," Jun. 22, 2017, 5:59 AM ",Chicago Bridge & Iron: Macquarie Looking For Justification,Long
 Brian Bain,/article/4083118-predicted-nvidias-rise-mark-hibben,NVDA," Jun. 22, 2017, 4:52 AM ",How I Predicted Nvidia's Rise (Mark Hibben),Long
 Kirk Spano,/article/4083105-buy-encana-maximum-pessimism,ECA," Jun. 22, 2017, 2:58 AM ",Buy Encana On Maximum Pessimism,Long
 Societe Financiers,/article/4083103-enbridge-rational-investment-mid-term,ENB," Jun. 22, 2017, 2:39 AM ",Enbridge: A Rational Investment For The Mid-Term,Long
 Bert Hochfeld,/article/4083093-red-hat-brace-strategic-choices-now-bearing-fruit,RHT," Jun. 22, 2017, 12:46 AM ",Red Hat - A Brace Of Strategic Choices Now Bearing Fruit,Long
 The Bull Case,/article/4083094-xylem-investing-worlds-important-commodity,XYL," Jun. 22, 2017, 12:23 AM ",Xylem: Investing In The World's Most Important Commodity,Long
 The Knife Catcher,/article/4083081-analysis-israel-chemicals-ltd,ICL," Jun. 21, 2017, 8:58 PM ",An Analysis On Israel Chemicals Ltd.,Long
 Michael Boyd,/article/4083079-myriad-genetics-worth-bet-diagnostics-kit-pricing-expansion,MYGN," Jun. 21, 2017, 8:11 PM ",Myriad Genetics: Worth A Bet On Diagnostics Kit Pricing Expansion?,Long
 Sam Warren,/article/4083075-tjx-companies-treasure-hunt-retail,TJX," Jun. 21, 2017, 7:22 PM ",TJX Companies - The Treasure Hunt Of Retail,Long
 David Zanoni,/article/4083071-broadwind-energy-50-percent-upside-potential,BWEN," Jun. 21, 2017, 6:48 PM ",Broadwind Energy: 50% Upside Potential,Long
 The Value Portfolio,/article/4083065-eqt-corporation-acquisition-rice-energy-smart,EQT," Jun. 21, 2017, 5:40 PM ",The EQT Corporation Acquisition Of Rice Energy Is Smart,Long
 Kevin George,/article/4083060-kemet-corp-exciting-growth-potential,KEM," Jun. 21, 2017, 5:31 PM ",Kemet Corp.: Exciting Growth Potential,Long
 Orthodox Investor,/article/4083062-plains-american-opportunity-buy,PAA," Jun. 21, 2017, 5:13 PM ",Plains All American: An Opportunity To Buy?,Long
 David Butler,/article/4083058-exxonmobil-opportunities-pullbacks,XOM," Jun. 21, 2017, 4:54 PM ",ExxonMobil: Opportunities In Pullbacks,Long
 ShadowStock,/article/4083052-rubicon-project-selling-creating-bargain-price,RUBI," Jun. 21, 2017, 4:36 PM ",The Rubicon Project: Who And Why Selling Is Creating A Bargain Price?,Long
 Brandon Dempster,/article/4083045-bp-positive-progress-derailed,BP," Jun. 21, 2017, 4:23 PM ",BP: Positive Progress Derailed,Long
" Jun. 21, 2017, 4:00 PM ",/article/4079295-long-case-quality-care-properties,Editors' Pick , QCP,The Long Case For Quality Care Properties,Long
" Jun. 21, 2017, 3:29 PM ",/article/4082719-playa-hotels-and-resorts-ground-account-compelling-investment-opportunity,Editors' Pick , PLYA,Playa Hotels & Resorts: An On The Ground Account Of A Compelling Investment Opportunity,Long
 Global Value Research Company,/article/4083033-flush-cash-growing-backlog-gulf-island-fabrication-positioned-success,GIFI," Jun. 21, 2017, 3:22 PM ","Flush With Cash And Growing Backlog, Gulf Island Fabrication Positioned For Success",Long
 Kwan-Chen Ma,/article/4082995-amazon-whole-foods-leaving-money-table,AMZN," Jun. 21, 2017, 3:12 PM ",Amazon And Whole Foods: Leaving Money On The Table?,Long
 The Opportunist,/article/4083007-hydrogenics-train-left-station-stock-may-also,HYGS," Jun. 21, 2017, 3:00 PM ","The Hydrogenics Train Has Left The Station, Why The Stock May Also",Long
 Bulls and Bears of Buckhead,/article/4083000-bullish-ziopharm,ZIOP," Jun. 21, 2017, 2:43 PM ",Bullish On Ziopharm,Long
 Morningsidepark,/article/4082991-enphase-energy-inc-analyst-day-nothing-burger,ENPH," Jun. 21, 2017, 2:11 PM ",Enphase Energy Inc.: Analyst Day Was A Nothing Burger,Long
 Integer Investments,/article/4082958-missing-something,FL," Jun. 21, 2017, 1:01 PM ",Am I Missing Something?,Long
" Michael Davies, CFA",/article/4082948-tesla-disruptive-technologies-create-market-value,TSLA," Jun. 21, 2017, 12:42 PM ",Tesla: Disruptive Technologies Create Market Value,Long
 Matt Bohlsen,/article/4082946-trevali-mining-growing-miner-zinc-goes-deficit,TREVF," Jun. 21, 2017, 12:34 PM ",Trevali Mining - A Growing Miner As Zinc Goes Into Deficit,Long
 Timothy Gornall,/article/4082933-lennox-international-looks-good,LII," Jun. 21, 2017, 12:09 PM ",Lennox International Looks Good,Long
 Searching For Value,/article/4082939-ibm-solid-buy-current-levels,IBM," Jun. 21, 2017, 11:56 AM ",IBM Is A Solid Buy At Current Levels,Long
 Quad 7 Capital,/article/4082928-foot-locker-addressing-absolute-massacre,FL," Jun. 21, 2017, 11:26 AM ",Foot Locker: Addressing The Absolute Massacre,Long
 FundSpec.IO,/article/4082917-tina-gm,GM," Jun. 21, 2017, 11:24 AM ","If TINA, Why Not GM?",Long
 Stone Fox Capital,/article/4082925-cloudera-take-advantage-post-ipo-weakness,CLDR," Jun. 21, 2017, 11:18 AM ",Cloudera: Take Advantage Of Post-IPO Weakness,Long
 TheBaron Investing,/article/4082911-american-river-bank-conservative-management-good-value-new-dividend,AMRB," Jun. 21, 2017, 11:05 AM ","American River Bank: Conservative Management, Good Value And New Dividend",Long
 Shark Traders,/article/4082908-impinj-likely-real-winner-amazons-acquisition-whole-foods,PI," Jun. 21, 2017, 10:53 AM ",Impinj Likely The Real Winner From Amazon's Acquisition Of Whole Foods,Long
 Callum Turcan,/article/4082906-chevrons-bullish-gulf-mexico-growth-trajectory,CVX," Jun. 21, 2017, 10:49 AM ",Chevron's Bullish Gulf Of Mexico Growth Trajectory,Long
 David Trainer,/article/4082895-amgen-undervalued-industry-leader,AMGN," Jun. 21, 2017, 10:00 AM ",Amgen: An Undervalued Industry Leader,Long
 Dane Bowler,/article/4082884-market-dynamics-part-2-supply-surges-corecivic-inc,CXW," Jun. 21, 2017, 9:44 AM ","Market Dynamics Part 2: Supply Surges, And CoreCivic Inc.",Long
 TheBaron Investing,/article/4082859-flexible-solutions-international-new-trial-illustrates-business-model-small-cap-big,FSI," Jun. 21, 2017, 9:28 AM ","Flexible Solutions International: New Trial Illustrates Business Model, Small Cap And Big Opportunity",Long
 Gaurao Bhade,/article/4082863-put-regeneron-investment-radar-2017,REGN," Jun. 21, 2017, 9:01 AM ",Put Regeneron On Your Investment Radar In 2017,Long
 Brian Bain,/article/4082828-high-hopes-chesapeake-william-koldus,CHK," Jun. 21, 2017, 9:00 AM ",Why I Have High Hopes For Chesapeake (William Koldus),Long
 Bottom Fisher Ideas,/article/4082856-jones-lang-lasalle-name-worth-owning,JLL," Jun. 21, 2017, 8:51 AM ",Jones Lang LaSalle: A Name Worth Owning,Long
 Richard Saintvilus,/article/4082851-fedex-heading-230,FDX," Jun. 21, 2017, 8:44 AM ",FedEx: Heading To $230,Long
 Eric Nickolaison,/article/4082847-screening-potential-spin-offs-honeywell-international,HON," Jun. 21, 2017, 8:39 AM ",Screening For Potential Spin-Offs: Honeywell International,Long
 Long Player,/article/4082830-yangarra-resources-top-well-results-merit-great-stock-performance,YGRAF," Jun. 21, 2017, 8:04 AM ",Yangarra Resources: Top Well Results Merit The Great Stock Performance,Long
" Jun. 21, 2017, 8:00 AM ",/article/4082702-barnes-and-noble-education-far-shot-dark,Editors' Pick , BNED,Barnes & Noble Education: Far From A Shot In The Dark,Long
 Kai Shih,/article/4082822-chicago-bridge-iron-huge-risky-mess-think,CBI," Jun. 21, 2017, 7:59 AM ",Chicago Bridge And Iron: Not The Huge Risky Mess You Think It Is,Long
" Jun. 21, 2017, 7:30 AM ",/article/4082805-marketplace-roundtable-roic,Editors' Pick , NVR,Marketplace Roundtable: All About ROIC,Long
 Gary Bourgeault,/article/4082823-bp-still-good-energy-play,BP," Jun. 21, 2017, 7:30 AM ",Why BP Is Still A Good Energy Play,Long
 Daniel Schönberger,/article/4082804-bed-bath-and-beyond-good-sense-analysis-deeply-undervalued-stock,BBBY," Jun. 21, 2017, 2:41 AM ",Bed Bath & Beyond Any Good Sense: Analysis Of A Deeply Undervalued Stock,Long
 Mark Hibben,/article/4082803-apples-war-leaks-gets-results,AAPL," Jun. 21, 2017, 2:33 AM ",Apple's War On Leaks Gets Results,Long
 Bull's Run,/article/4082797-starbucks-buy-weakness,SBUX," Jun. 20, 2017, 11:55 PM ",Starbucks: Buy On Weakness,Long
 Raffi Balyozyan,/article/4082772-armour-bigger-gets-slower-grows,UA," Jun. 20, 2017, 7:08 PM ","Under Armour: The Bigger It Gets, The Slower It Grows",Long
 Stone Fox Capital,/article/4082780-can-fedex-outspend-threat,FDX," Jun. 20, 2017, 7:04 PM ",Can FedEx Outspend The Threat?,Long
 Tony Petersen,/article/4082776-hidden-gem-wpx,WPX," Jun. 20, 2017, 6:51 PM ",The Hidden Gem That Is WPX,Long
 ChartMasterPro,/article/4082769-alaska-air-positioned-growth,ALK," Jun. 20, 2017, 6:25 PM ",Alaska Air: Positioned For Growth,Long
 Cash-Centered Creep,/article/4082768-bemis-share-price-fall-provides-opportunity,BMS," Jun. 20, 2017, 6:16 PM ",Bemis: The Share Price Fall Provides An Opportunity,Long
 The Value Portfolio,/article/4082762-africa-oil-top-tier-coming-oil-corporation,AOIFF," Jun. 20, 2017, 5:41 PM ",Africa Oil - Top Tier Up-And-Coming Oil Corporation,Long
 Hudson River Capital Research,/article/4082742-applied-materials-good-time-double,AMAT," Jun. 20, 2017, 5:08 PM ",Applied Materials: Good Time To Double Down,Long
 Arjan Sharma,/article/4082749-valeant-talk-pipeline-value,VRX," Jun. 20, 2017, 5:01 PM ",Valeant: Let's Talk Pipeline And Value,Long
 Callum Turcan,/article/4082738-exxon-spearheading-guyanas-upcoming-oil-boom,XOM," Jun. 20, 2017, 4:53 PM ",Exxon Spearheading Guyana's Upcoming Oil Boom,Long
 Geoffrey Caveney,/article/4082743-announcing-launch-stock-and-gold-market-report,"GDX, GDXJ, GG"," Jun. 20, 2017, 4:50 PM ",Announcing The Launch Of The Stock & Gold Market Report,Long
 Long Player,/article/4082741-cenovus-energy-misplaced-market-fears-bargain-acquisition,CVE," Jun. 20, 2017, 4:35 PM ",Cenovus Energy:  Misplaced Market Fears About A Bargain Acquisition,Long
 Mislav Jukic,/article/4082732-owens-corning-building-products-manufacturer-profit-upcoming-mega-renovation-cycle,OC," Jun. 20, 2017, 4:32 PM ",Owens Corning: Building Products Manufacturer Profit From An Upcoming Mega-Renovation Cycle,Long
 Drew Allen,/article/4082737-kroger-attractive-prices,KR," Jun. 20, 2017, 4:21 PM ",Kroger Is Attractive At These Prices,Long
" Jun. 20, 2017, 4:18 PM ",/article/4082726-mazdas-new-growth-engine-literally-diesel,Editors' Pick ," MZDAY, MZDAF","Mazda's New Growth Engine, Literally: Diesel",Long
 Matt Hogan,/article/4082730-akamai-technologies-ceo-buying-stock,AKAM," Jun. 20, 2017, 3:56 PM ",Akamai Technologies' CEO Is Buying Stock - Should You?,Long
 Sven Carlin,/article/4082717-amira-nature-foods-remains-stable-company-p-e-5,ANFI," Jun. 20, 2017, 3:26 PM ",Amira Nature Foods Remains A Stable Company With A P/E Below 5,Long
 Jesse Donovan,/article/4082704-athersys-poised-disrupt-ischemic-stroke-market,ATHX," Jun. 20, 2017, 3:19 PM ",Athersys Is Poised To Disrupt The Ischemic Stroke Market,Long
 Aleksandar Vichev,/article/4082713-gamestops-valuation-irresistible,GME," Jun. 20, 2017, 3:18 PM ",GameStop's Valuation Is Irresistible,Long
 Societe Financiers,/article/4082710-raytheon-still-growth-potential,RTN," Jun. 20, 2017, 3:05 PM ",Raytheon: Still Has Growth Potential,Long
 HealthBlogger,/article/4082706-time-take-profits-regeneron,REGN," Jun. 20, 2017, 2:56 PM ",It's Time To Take Profits On Regeneron,Long
" Michael DeSantis, CFA",/article/4082687-sturm-ruger-and-company-good-value-stock,RGR," Jun. 20, 2017, 2:31 PM ","Sturm, Ruger & Company: A Good Value Stock?",Long
 Five Minute Stocks,/article/4082681-alloy-steel-international-cheap-standard,AYSI," Jun. 20, 2017, 2:11 PM ",Alloy Steel International: Cheap By Any Standard,Long
 Ploutos Investing,/article/4082665-brookfield-business-strategic-growth-initiatives,BBU," Jun. 20, 2017, 1:42 PM ",Brookfield Business: Strategic Growth Initiatives,Long
 Celeritas Investments,/article/4082663-vivint-solar-60-percent-month,VSLR," Jun. 20, 2017, 1:33 PM ",Why Vivint Solar Is Up 60% This Month,Long
 Trapping Value,/article/4082662-will-buy-blood-streets,CVE," Jun. 20, 2017, 1:32 PM ",Will You Buy When There Is Blood In The Streets?,Long
 Andrew McElroy,/article/4082666-valeant-time-different,VRX," Jun. 20, 2017, 1:16 PM ",Valeant: Is This Time Different?,Long
 CVC Research,/article/4082395-pendrell-extremely-low-risk-high-upside-short-term-play,PCO," Jun. 20, 2017, 12:57 PM ","Pendrell Is An Extremely Low-Risk, High-Upside Short-Term Play",Long
" Jun. 20, 2017, 12:33 PM ",/article/4082385-maximus-multiple-contraction-potential-buying-opportunity,Editors' Pick , MMS,Maximus: Multiple Contraction Is A Potential Buying Opportunity,Long
 ValueAnalyst,/article/4082650-teslas-warranty-expense-means-future,TSLA," Jun. 20, 2017, 12:15 PM ",Tesla's Warranty Expense And What It Means To Its Future,Long
 Stock Market Sherpa,/article/4082640-magna-canadian-auto-parts-supplier-60-percent-upside,MGA," Jun. 20, 2017, 11:54 AM ",Magna: Canadian Auto Parts Supplier With 60% Upside,Long
 Jared Orr,/article/4082629-future-nike-bright-better-wear-shades,NKE," Jun. 20, 2017, 11:42 AM ",The Future Of Nike: So Bright You Better Wear Shades,Long
 Austin Craig,/article/4082634-ethereum-mining-spurring-growth-amd-nvidia,"AMD, NVDA"," Jun. 20, 2017, 11:34 AM ",Ethereum Mining Spurring Growth For AMD And Nvidia?,Long
 Strubel Investment Management,/article/4082624-iac-undervalued,IAC," Jun. 20, 2017, 11:15 AM ",IAC: Undervalued?,Long
 Save Money Retire Early,/article/4082614-altria-one-less-thing-fear,MO," Jun. 20, 2017, 10:38 AM ",Altria: One Less Thing To Fear,Long
" Jun. 20, 2017, 10:09 AM ",/article/4082615-cincinnati-bell-hidden-long-term-value-fioptics-network,Editors' Pick , CBB,Cincinnati Bell: Hidden Long-Term Value In Its Fioptics Network,Long
 Chris Lau,/article/4082599-valeant-pharmaceuticals-will-rally-3-near-term-catalysts,VRX," Jun. 20, 2017, 9:58 AM ",Valeant Pharmaceuticals Will Rally On These 3 Near-Term Catalysts,Long
 WG Investment Research,/article/4082610-bac-get-shares-ahead-upcoming-catalyst,BAC," Jun. 20, 2017, 9:45 AM ",BAC: Get Shares Ahead Of The Upcoming Catalyst,Long
