Authors,Link,Tickers,Time,Title,Strategy
" Thu, Jan. 11, 1:29 PM ",/article/4136994-tax-cuts-retailers-equal-big-gains-facebook,Editors' Pick , FB,Tax Cuts For Retailers Equal Big Gains For Facebook,Long
 Gio Danisi,/article/4136972-bbm-consumer-another-ace-blackberrys-sleeve,BB," Thu, Jan. 11, 12:50 PM ",BBM Consumer: Another Ace Up BlackBerry's Sleeve,Long
 Feria Investor,/article/4136932-crypto-looms-paypals-next-earnings-report,PYPL," Thu, Jan. 11, 12:37 PM ",Crypto Looms Over PayPal's Next Earnings Report,Long
 MTS Insights,/article/4136941-rebounding-american-express-take-advantage-positive-2018-outlook,AXP," Thu, Jan. 11, 12:33 PM ",Rebounding American Express To Take Advantage Of Positive 2018 Outlook,Long
" Andres Cardenal, CFA",/article/4136934-better-tech-stock-alphabet-microsoft,"GOOG, GOOGL, MSFT"," Thu, Jan. 11, 12:11 PM ",Better Tech Stock: Alphabet Or Microsoft?,Long
 Adrian Day,/article/4136922-osisko-gold-royalties-sees-rapid-growth-catches-leaders,OR," Thu, Jan. 11, 12:11 PM ",Osisko Gold Royalties Sees Rapid Growth As It Catches Up With Leaders,Long
" Kevin Mak, CFA",/article/4136929-chinas-renren-poised-unlock-value-investment-portfolio-grow-blockchain,RENN," Thu, Jan. 11, 11:55 AM ",China's Renren Is Poised To Unlock Value From Its Investment Portfolio And Grow With Blockchain,Long
 The Value Portfolio,/article/4136924-chesapeake-energy-improving-financials-one-day-time,CHK," Thu, Jan. 11, 11:43 AM ",Chesapeake Energy - Improving Financials One Day At A Time,Long
 Gold News,/article/4136911-polyus-gold-underperformance,PGILF," Thu, Jan. 11, 11:14 AM ",Polyus Gold: Why The Underperformance?,Long
" Thu, Jan. 11, 10:52 AM ",/article/4136586-dmg-mori-running-global-tool-recovery,Editors' Pick , MRSKY,DMG Mori Running On A Global Tool Recovery,Long
" Thu, Jan. 11, 10:24 AM ",/article/4136579-e-commerce-giant-great-valuation,Editors' Pick , RKUNY,An E-Commerce Giant At A Great Valuation,Long
 David Trainer,/article/4136902-financials-company-gives-growth-value,SYF," Thu, Jan. 11, 10:23 AM ",This Financials Company Gives You Growth And Value,Long
 Shareholders Unite,/article/4136901-inseegos-5g-credentials-underappreciated,INSG," Thu, Jan. 11, 10:22 AM ",Inseego's 5G Credentials Are Underappreciated,Long
 Ben Kramer-Miller,/article/4136893-substantial-upside-globex-mining-enterprises,GLBXF," Thu, Jan. 11, 9:50 AM ",Substantial Upside In Globex Mining Enterprises,Long
 SmallCapAnalyst,/article/4136892-stitch-fix-ecosystem-fashion,SFIX," Thu, Jan. 11, 9:50 AM ",Stitch Fix - The Ecosystem Of Fashion,Long
 Stephen Ayers,/article/4136877-global-blood-therapeutics-grade-a-opportunity,GBT," Thu, Jan. 11, 9:42 AM ",Global Blood Therapeutics: Grade 'A' Opportunity,Long
" Thu, Jan. 11, 9:24 AM ",/article/4136884-thermo-fisher-fishing-cash,Editors' Pick , TMO,Thermo Fisher - Fishing For Cash,Long
 Simple Digressions,/article/4136883-klondex-truth-behind-putting-true-north-care-maintenance,KLDX," Thu, Jan. 11, 9:22 AM ",Klondex - The Truth Behind Putting True North On Care And Maintenance,Long
 ValueAnalyst,/article/4136871-transocean-initiating-position,RIG," Thu, Jan. 11, 8:49 AM ",Transocean: Initiating A Position,Long
 Kostas Feruliovas,/article/4136860-credit-suisse-performance-improved-price-remains-rational,CS," Thu, Jan. 11, 8:45 AM ","Credit Suisse: Performance Improved, But Price Remains Rational",Long
