Date,Close,Tickers
6/23/16,722.080017,AMZN
6/24/16,698.960022,AMZN
6/27/16,691.3599849999999,AMZN
6/28/16,707.950012,AMZN
6/29/16,715.599976,AMZN
6/30/16,715.619995,AMZN
7/1/16,725.679993,AMZN
7/5/16,728.099976,AMZN
7/6/16,737.6099849999999,AMZN
7/7/16,736.570007,AMZN
7/8/16,745.8099980000001,AMZN
7/11/16,753.780029,AMZN
7/12/16,748.210022,AMZN
7/13/16,742.630005,AMZN
7/14/16,741.200012,AMZN
7/15/16,735.4400019999999,AMZN
7/18/16,736.070007,AMZN
7/19/16,739.950012,AMZN
7/20/16,745.719971,AMZN
7/21/16,744.429993,AMZN
7/22/16,744.8599849999999,AMZN
7/25/16,739.6099849999999,AMZN
7/26/16,735.590027,AMZN
7/27/16,736.669983,AMZN
7/28/16,752.6099849999999,AMZN
7/29/16,758.8099980000001,AMZN
8/1/16,767.73999,AMZN
8/2/16,760.580017,AMZN
8/3/16,754.6400150000001,AMZN
8/4/16,760.77002,AMZN
8/5/16,765.97998,AMZN
8/8/16,766.5599980000001,AMZN
8/9/16,768.3099980000001,AMZN
8/10/16,768.5599980000001,AMZN
8/11/16,771.23999,AMZN
8/12/16,772.5599980000001,AMZN
8/15/16,768.48999,AMZN
8/16/16,764.039978,AMZN
8/17/16,764.630005,AMZN
8/18/16,764.460022,AMZN
8/19/16,757.3099980000001,AMZN
8/22/16,759.47998,AMZN
8/23/16,762.450012,AMZN
8/24/16,757.25,AMZN
8/25/16,759.219971,AMZN
8/26/16,769.0,AMZN
8/29/16,771.289978,AMZN
8/30/16,767.580017,AMZN
8/31/16,769.159973,AMZN
9/1/16,770.619995,AMZN
9/2/16,772.4400019999999,AMZN
9/6/16,788.869995,AMZN
9/7/16,784.47998,AMZN
9/8/16,784.0599980000001,AMZN
9/9/16,760.1400150000001,AMZN
9/12/16,771.48999,AMZN
9/13/16,761.01001,AMZN
9/14/16,761.090027,AMZN
9/15/16,769.6900019999999,AMZN
9/16/16,778.52002,AMZN
9/19/16,775.099976,AMZN
9/20/16,780.219971,AMZN
9/21/16,789.73999,AMZN
9/22/16,804.700012,AMZN
9/23/16,805.75,AMZN
9/26/16,799.159973,AMZN
9/27/16,816.1099849999999,AMZN
9/28/16,828.719971,AMZN
9/29/16,829.049988,AMZN
9/30/16,837.3099980000001,AMZN
10/3/16,836.73999,AMZN
10/4/16,834.030029,AMZN
10/5/16,844.3599849999999,AMZN
10/6/16,841.659973,AMZN
10/7/16,839.429993,AMZN
10/10/16,841.7100220000001,AMZN
10/11/16,831.0,AMZN
10/12/16,834.090027,AMZN
10/13/16,829.280029,AMZN
10/14/16,822.960022,AMZN
10/17/16,812.950012,AMZN
10/18/16,817.650024,AMZN
10/19/16,817.6900019999999,AMZN
10/20/16,810.320007,AMZN
10/21/16,818.98999,AMZN
10/24/16,838.090027,AMZN
10/25/16,835.179993,AMZN
10/26/16,822.590027,AMZN
10/27/16,818.3599849999999,AMZN
10/28/16,776.320007,AMZN
10/31/16,789.820007,AMZN
11/1/16,785.409973,AMZN
11/2/16,765.5599980000001,AMZN
11/3/16,767.030029,AMZN
11/4/16,755.049988,AMZN
11/7/16,784.929993,AMZN
11/8/16,787.75,AMZN
11/9/16,771.880005,AMZN
11/10/16,742.380005,AMZN
11/11/16,739.01001,AMZN
11/14/16,719.070007,AMZN
11/15/16,743.23999,AMZN
11/16/16,746.48999,AMZN
11/17/16,756.400024,AMZN
11/18/16,760.159973,AMZN
11/21/16,780.0,AMZN
11/22/16,785.330017,AMZN
11/23/16,780.119995,AMZN
11/25/16,780.369995,AMZN
11/28/16,766.77002,AMZN
11/29/16,762.52002,AMZN
11/30/16,750.570007,AMZN
12/1/16,743.650024,AMZN
12/2/16,740.340027,AMZN
12/5/16,759.3599849999999,AMZN
12/6/16,764.719971,AMZN
12/7/16,770.419983,AMZN
12/8/16,767.330017,AMZN
12/9/16,768.659973,AMZN
12/12/16,760.119995,AMZN
12/13/16,774.340027,AMZN
12/14/16,768.820007,AMZN
12/15/16,761.0,AMZN
12/16/16,757.77002,AMZN
12/19/16,766.0,AMZN
12/20/16,771.219971,AMZN
12/21/16,770.599976,AMZN
12/22/16,766.340027,AMZN
12/23/16,760.590027,AMZN
12/27/16,771.400024,AMZN
12/28/16,772.130005,AMZN
12/29/16,765.150024,AMZN
12/30/16,749.869995,AMZN
1/3/17,753.669983,AMZN
1/4/17,757.179993,AMZN
1/5/17,780.450012,AMZN
1/6/17,795.98999,AMZN
1/9/17,796.919983,AMZN
